	k	p	c	o	f	g	s
OTU_3157	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_3153	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_4	Unclassified	Unclassified	Unclassified
OTU_3159	k:Bacteria	p:Firmicutes	c:Erysipelotrichia	o:Erysipelotrichales	f:Erysipelotrichaceae	g:Asteroleplasma	Unclassified
OTU_3160	k:Bacteria	p:Chloroflexi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3166	k:Bacteria	p:Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3155	k:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Streptococcaceae	g:Streptococcus	Unclassified
OTU_3162	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_3164	k:Bacteria	p:Elusimicrobia	c:Elusimicrobia	o:Lineage_IV	Unclassified	Unclassified	Unclassified
OTU_3161	k:Bacteria	p:Chlorobi	c:Chlorobia	o:Chlorobiales	f:OPB56	Unclassified	Unclassified
OTU_3163	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	Unclassified	Unclassified	Unclassified
OTU_3165	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_3173	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3168	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:GR-WP33-30	Unclassified	Unclassified	Unclassified
OTU_3170	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_3167	k:Bacteria	p:Firmicutes	c:Negativicutes	o:Selenomonadales	f:Veillonellaceae	g:Dialister	s:Dialister_pneumosintes
OTU_3171	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	Unclassified	Unclassified	Unclassified
OTU_3172	k:Bacteria	p:Armatimonadetes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3169	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	Unclassified	Unclassified
OTU_3174	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	Unclassified	Unclassified
OTU_3176	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_3179	k:Bacteria	p:SM2F11	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3175	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_3180	k:Bacteria	p:Planctomycetes	c:Phycisphaerae	o:WD2101_soil_group	Unclassified	Unclassified	Unclassified
OTU_3177	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	Unclassified	Unclassified
OTU_3183	k:Bacteria	p:Planctomycetes	c:BD7-11	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3178	k:Bacteria	p:Actinobacteria	c:Rubrobacteria	o:Rubrobacterales	f:Rubrobacteriaceae	g:Rubrobacter	Unclassified
OTU_3182	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Bdellovibrionales	f:Bdellovibrionaceae	g:Bdellovibrio	Unclassified
OTU_3181	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	Unclassified	Unclassified	Unclassified
OTU_3185	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_3186	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Rhodospirillales_Incertae_Sedis	g:Candidatus_Alysiosphaera	Unclassified
OTU_3184	k:Bacteria	p:Chloroflexi	c:JG37-AG-4	Unclassified	Unclassified	Unclassified	Unclassified
OTU_3187	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	Unclassified	Unclassified	Unclassified
OTU_3188	k:Bacteria	p:Chlorobi	c:Ignavibacteria	o:Ignavibacteriales	f:BSV26	Unclassified	Unclassified
