	k	p	c	o	f	g	s
OTU_19205	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19198	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19200	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19201	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:Rickettsiales_Incertae_Sedis	g:Candidatus_Captivus	Unclassified
OTU_19199	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19203	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Acidothermaceae	g:Acidothermus	Unclassified
OTU_19204	k:Bacteria	p:Cyanobacteria	c:Cyanobacteria	o:SubsectionIII	f:FamilyI	g:Phormidium	Unclassified
OTU_19206	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:AT425-EubC11_terrestrial_group	Unclassified	Unclassified	Unclassified
OTU_19208	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	g:Acidovorax	Unclassified
OTU_19210	k:Bacteria	p:Parcubacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19207	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19209	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	g:Pirellula	Unclassified
OTU_19215	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19212	k:Bacteria	p:Chloroflexi	c:Anaerolineae	o:Anaerolineales	f:Anaerolineaceae	Unclassified	Unclassified
OTU_19213	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	g:Gemmata	Unclassified
OTU_19214	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19211	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:Rickettsiales_Incertae_Sedis	g:Candidatus_Odyssella	Unclassified
OTU_19218	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	g:Ferruginibacter	Unclassified
OTU_19217	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_19220	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	Unclassified	Unclassified
OTU_19216	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:0319-6M6	Unclassified	Unclassified
OTU_19219	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19222	k:Bacteria	p:Armatimonadetes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19221	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	Unclassified	Unclassified	Unclassified
OTU_19223	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19225	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19226	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19224	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19228	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19234	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19230	k:Bacteria	p:Verrucomicrobia	c:OPB35_soil_group	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19232	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19229	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:Rickettsiaceae	Unclassified	Unclassified
OTU_19227	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Oligoflexales	Unclassified	Unclassified	Unclassified
OTU_19235	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19231	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	g:Gemmata	Unclassified
OTU_19233	k:Bacteria	p:Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19243	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19236	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Bdellovibrionales	f:Bdellovibrionaceae	g:Bdellovibrio	Unclassified
OTU_19238	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19239	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Marmoricola	Unclassified
OTU_19240	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Coxiellaceae	g:Aquicella	Unclassified
OTU_19237	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_5	Unclassified	Unclassified	Unclassified
OTU_19245	k:Bacteria	p:Firmicutes	c:Erysipelotrichia	o:Erysipelotrichales	f:Erysipelotrichaceae	g:Asteroleplasma	Unclassified
OTU_19242	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:P3OB-42	Unclassified	Unclassified
OTU_19247	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19241	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19244	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Burkholderia	Unclassified
OTU_19248	k:Bacteria	p:Chloroflexi	c:Anaerolineae	o:Anaerolineales	f:Anaerolineaceae	Unclassified	Unclassified
OTU_19246	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:mle1-27	Unclassified	Unclassified
OTU_19249	k:Bacteria	p:Parcubacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19251	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Oligoflexales	f:Oligoflexaceae	Unclassified	Unclassified
OTU_19253	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:GR-WP33-30	Unclassified	Unclassified	Unclassified
OTU_19250	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:SC-I-84	Unclassified	Unclassified	Unclassified
OTU_19252	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Family_X	g:Thermicanus	Unclassified
OTU_19254	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19257	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	g:Singulisphaera	Unclassified
OTU_19255	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Geodermatophilaceae	g:Modestobacter	Unclassified
OTU_19256	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	Unclassified	Unclassified	Unclassified
OTU_19258	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19259	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptomycetales	f:Streptomycetaceae	g:Streptomyces	Unclassified
OTU_19260	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19263	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_19262	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Rhizobiales_Incertae_Sedis	g:Rhizomicrobium	Unclassified
OTU_19261	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Desulfuromonadales	f:21f08	Unclassified	Unclassified
OTU_19264	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19267	k:Bacteria	p:Candidate_division_OP3	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19265	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_19266	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19273	k:Bacteria	p:Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19271	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19270	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	g:Pirellula	Unclassified
OTU_19268	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptosporangiales	f:Streptosporangiaceae	g:Sphaerisporangium	s:Sphaerisporangium_viridialbum
OTU_19269	k:Bacteria	p:Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19274	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Rhodospirillales_Incertae_Sedis	g:Reyranella	s:alpha_proteobacterium_KC-IT-H4
OTU_19277	k:Bacteria	p:TM6	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19272	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_4	f:DS-100	Unclassified	Unclassified
OTU_19282	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19280	k:Bacteria	p:SM2F11	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19276	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:GR-WP33-30	Unclassified	Unclassified	Unclassified
OTU_19279	k:Bacteria	p:Nitrospirae	c:Nitrospira	o:Nitrospirales	f:Nitrospiraceae	g:Nitrospira	s:Nitrospira_japonica
OTU_19275	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19278	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Haliangiaceae	g:Haliangium	Unclassified
OTU_19284	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19281	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	Unclassified
OTU_19290	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19288	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19283	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19289	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19287	k:Bacteria	p:SM2F11	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19286	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_19298	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19285	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	Unclassified	Unclassified
OTU_19291	k:Bacteria	p:Verrucomicrobia	c:Spartobacteria	o:Chthoniobacterales	f:DA101_soil_group	Unclassified	Unclassified
OTU_19292	k:Bacteria	p:Bacteroidetes	c:Bacteroidia	o:Bacteroidales	f:Bacteroidaceae	g:Bacteroides	s:Bacteroides_graminisolvens
OTU_19293	k:Bacteria	p:Chloroflexi	c:Ktedonobacteria	o:Ktedonobacterales	f:Ktedonobacteraceae	Unclassified	Unclassified
OTU_19297	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Oligoflexales	Unclassified	Unclassified	Unclassified
OTU_19296	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19304	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19295	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	Unclassified	Unclassified
OTU_19294	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Legionellaceae	g:Legionella	s:Legionella_erythra
OTU_19299	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	Unclassified	Unclassified
OTU_19301	k:Bacteria	p:Chloroflexi	c:Chloroflexia	o:Kallotenuales	f:AKIW781	Unclassified	Unclassified
OTU_19302	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	Unclassified	Unclassified
OTU_19300	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Nakamurellaceae	g:Nakamurella	s:Nakamurella_sp._1153-i1wt
OTU_19308	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_19310	k:Bacteria	p:Firmicutes	c:Erysipelotrichia	o:Erysipelotrichales	f:Erysipelotrichaceae	g:Asteroleplasma	Unclassified
OTU_19303	k:Bacteria	p:Actinobacteria	c:Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19306	k:Bacteria	p:Planctomycetes	c:OM190	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19305	k:Bacteria	p:Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19307	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	Unclassified	Unclassified	Unclassified
OTU_19309	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19311	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19313	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_19312	k:Bacteria	p:Chlamydiae	c:Chlamydiae	o:Chlamydiales	f:Simkaniaceae	Unclassified	Unclassified
OTU_19314	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	Unclassified	Unclassified	Unclassified
OTU_19319	k:Bacteria	p:Cyanobacteria	c:Chloroplast	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19316	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Coxiellaceae	g:Aquicella	Unclassified
OTU_19315	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	Unclassified
OTU_19320	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Bdellovibrionales	f:Bdellovibrionaceae	g:Bdellovibrio	Unclassified
OTU_19318	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19317	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Desulfuromonadales	f:Geobacteraceae	g:Geobacter	Unclassified
OTU_19321	k:Bacteria	p:Chlamydiae	c:Chlamydiae	o:Chlamydiales	Unclassified	Unclassified	Unclassified
OTU_19324	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	g:Singulisphaera	Unclassified
OTU_19326	k:Bacteria	p:Parcubacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19325	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_19322	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_4	f:Unknown_Family	g:Blastocatella	s:Acidobacteria_bacterium_IGE-017
OTU_19323	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	Unclassified
OTU_19330	k:Bacteria	p:Parcubacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19328	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:P3OB-42	Unclassified	Unclassified
OTU_19329	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19327	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptomycetales	f:Streptomycetaceae	g:Streptomyces	Unclassified
OTU_19331	k:Bacteria	p:Nitrospirae	c:Nitrospira	o:Nitrospirales	f:Nitrospiraceae	g:Nitrospira	Unclassified
OTU_19333	k:Bacteria	p:Verrucomicrobia	c:Verrucomicrobia_Incertae_Sedis	o:Unknown_Order	f:Unknown_Family	g:Candidatus_Methylacidiphilum	Unclassified
OTU_19335	k:Bacteria	p:Planctomycetes	c:Phycisphaerae	o:WD2101_soil_group	Unclassified	Unclassified	Unclassified
OTU_19332	k:Bacteria	p:Actinobacteria	c:MB-A2-108	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19336	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_19334	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	Unclassified	Unclassified	Unclassified
OTU_19338	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19337	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_19339	k:Bacteria	p:Chloroflexi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19341	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19340	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	Unclassified	Unclassified	Unclassified
OTU_19342	k:Bacteria	p:Chloroflexi	c:Anaerolineae	o:Anaerolineales	f:Anaerolineaceae	Unclassified	Unclassified
OTU_19344	k:Bacteria	p:Chloroflexi	c:Anaerolineae	o:Anaerolineales	f:Anaerolineaceae	Unclassified	Unclassified
OTU_19343	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Phenylobacterium	s:Phenylobacterium_sp._T2-YC6777
OTU_19347	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Oligoflexales	f:Oligoflexaceae	Unclassified	Unclassified
OTU_19349	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19346	k:Bacteria	p:Cyanobacteria	c:ML635J-21	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19345	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Geodermatophilaceae	Unclassified	Unclassified
OTU_19348	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Paenibacillaceae	g:Paenibacillus	Unclassified
OTU_19353	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Spirosoma	Unclassified
OTU_19351	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Oligoflexales	Unclassified	Unclassified	Unclassified
OTU_19350	k:Bacteria	p:Actinobacteria	c:Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19352	k:Bacteria	p:Chlamydiae	c:Chlamydiae	o:Chlamydiales	f:Parachlamydiaceae	Unclassified	Unclassified
OTU_19354	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Bdellovibrionales	f:Bdellovibrionaceae	g:Bdellovibrio	Unclassified
OTU_19357	k:Bacteria	p:Gracilibacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19358	k:Bacteria	p:Saccharibacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19355	k:Bacteria	p:Chloroflexi	c:Thermomicrobia	o:Sphaerobacterales	f:Sphaerobacteraceae	g:Nitrolancea	Unclassified
OTU_19356	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	Unclassified	Unclassified
OTU_19360	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	Unclassified
OTU_19361	k:Bacteria	p:Cyanobacteria	c:Melainabacteria	o:Obscuribacterales	Unclassified	Unclassified	Unclassified
OTU_19365	k:Bacteria	p:Cyanobacteria	c:Chloroplast	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19363	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_4	f:Unknown_Family	g:Blastocatella	Unclassified
OTU_19362	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19359	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Paenibacillaceae	g:Paenibacillus	Unclassified
OTU_19364	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19366	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19367	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_6	Unclassified	Unclassified	Unclassified
OTU_19372	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19368	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19370	k:Bacteria	p:Chloroflexi	c:Anaerolineae	o:Anaerolineales	f:Anaerolineaceae	Unclassified	Unclassified
OTU_19369	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19377	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:Mitochondria	Unclassified	Unclassified
OTU_19371	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Coxiellaceae	g:Aquicella	Unclassified
OTU_19373	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:P3OB-42	Unclassified	Unclassified
OTU_19375	k:Bacteria	p:Actinobacteria	c:Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19378	k:Bacteria	p:Elusimicrobia	c:Elusimicrobia	o:Lineage_IIb	Unclassified	Unclassified	Unclassified
OTU_19374	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19376	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Paenibacillaceae	g:Paenibacillus	Unclassified
OTU_19380	k:Bacteria	p:Acidobacteria	c:Holophagae	o:Subgroup_10	f:Sva0725	Unclassified	Unclassified
OTU_19379	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	Unclassified
OTU_19381	k:Bacteria	p:Chloroflexi	c:TK10	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19382	k:Bacteria	p:Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19383	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	Unclassified	Unclassified
OTU_19385	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_19384	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Oligoflexales	Unclassified	Unclassified	Unclassified
OTU_19387	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Kribbella	s:Kribbella_jejuensis
OTU_19392	k:Bacteria	p:Gracilibacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19388	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_4	f:RB41	Unclassified	Unclassified
OTU_19386	k:Bacteria	p:Chloroflexi	c:Gitt-GS-136	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19389	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:P3OB-42	Unclassified	Unclassified
OTU_19391	k:Bacteria	p:Actinobacteria	c:MB-A2-108	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19390	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Legionellaceae	g:Legionella	Unclassified
OTU_19393	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	Unclassified	Unclassified
OTU_19394	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	Unclassified
OTU_19399	k:Bacteria	p:Parcubacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19395	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Amycolatopsis	Unclassified
OTU_19404	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19396	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19397	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Polyangiaceae	Unclassified	Unclassified
OTU_19398	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	Unclassified
OTU_19401	k:Bacteria	p:Verrucomicrobia	c:OPB35_soil_group	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19400	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Corynebacteriales	f:Nocardiaceae	g:Nocardia	Unclassified
OTU_19410	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19406	k:Bacteria	p:Saccharibacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19402	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19403	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Acidothermaceae	g:Acidothermus	Unclassified
OTU_19408	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19405	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19413	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19407	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Nitrosomonadales	f:Nitrosomonadaceae	Unclassified	Unclassified
OTU_19409	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19411	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	Unclassified	Unclassified	Unclassified
OTU_19412	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_19414	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:BIrii41	Unclassified	Unclassified
